company_name,ticker,corp_code,year,fs_type,revenue,operating_income,net_income,total_assets,total_liabilities,total_equity
뉴로메카,348340,01336461,2022,연결,9754641463.0,-7798121485.0,-8200588555.0,43830121450.0,4103488046.0,39726633404.0
로보티즈,108490,00946030,2024,연결,30038231053.0,-2973503944.0,-3038577530.0,100246445003.0,4239672714.0,96006772289.0
로보티즈,108490,00946030,2023,연결,29127949488.0,-5298796747.0,-1299719460.0,114995337499.0,19154455762.0,95840881737.0
로보티즈,108490,00946030,2022,연결,25856449323.0,-2160534050.0,-224151043.0,122794680774.0,38136875373.0,84657805401.0
두산로보틱스,454910,01105153,2024,연결,46829943837.0,-41202116246.0,-36560851475.0,421690971946.0,19189791718.0,402501180228.0
두산로보틱스,454910,01105153,2023,연결,53038372299.0,-19167549522.0,-15873538546.0,456422079722.0,17613986323.0,438808093399.0
티로보틱스,117730,00867098,2024,연결,60705396702.0,-7001978684.0,-790168243.0,106972896821.0,75532456040.0,31440440781.0
티로보틱스,117730,00867098,2023,연결,66716568313.0,-8210044979.0,-49702180376.0,132992565807.0,102291002029.0,30701563778.0
티로보틱스,117730,00867098,2022,연결,56729389196.0,-2339634861.0,-1312960041.0,87514857796.0,63376349954.0,24138507842.0
로보스타,090360,00536523,2024,연결,89140364461.0,148546186.0,2217180980.0,112596177645.0,20606274061.0,91989903584.0
로보스타,090360,00536523,2023,연결,102679156147.0,1135968686.0,693544237.0,115930937615.0,25980999097.0,89949938518.0
로보스타,090360,00536523,2022,연결,143240218469.0,1794247604.0,3281878090.0,136447103267.0,46536515025.0,89910588242.0
에스피지,058610,00220686,2024,연결,388476767485.0,12335226942.0,13113747075.0,397514155964.0,143378467479.0,254135688485.0
에스피지,058610,00220686,2023,연결,393785730793.0,15969877847.0,10995238460.0,346986705154.0,128084871753.0,218901833401.0
에스피지,058610,00220686,2022,연결,440476416653.0,25478930710.0,19682611034.0,354343809612.0,140851045915.0,213492763697.0
유일로보틱스,388720,01152586,2024,개별,35168850105.0,395024451.0,-9052537864.0,117411457218.0,22383208789.0,95028248429.0
유일로보틱스,388720,01152586,2023,개별,29454386714.0,-7008150424.0,-6556244567.0,85811954161.0,50928330318.0,34883623843.0
유일로보틱스,388720,01152586,2022,연결,38445045661.0,-3063639691.0,-2312336585.0,54603599767.0,14715514767.0,39888085000.0
휴림로봇,090710,00540429,2024,연결,133097920524.0,-4938399556.0,-9391668256.0,334935432412.0,122545868366.0,212389564046.0
휴림로봇,090710,00540429,2023,연결,82665225759.0,-1862126821.0,681571531.0,116854180181.0,24669399372.0,92184780809.0
휴림로봇,090710,00540429,2022,연결,55474362631.0,-7468016309.0,-11939139936.0,114484202819.0,33533181493.0,80951021326.0
현대무벡스,319400,01358463,2024,연결,341383043004.0,24571079650.0,26917423749.0,298865266015.0,126722489340.0,172142776675.0
현대무벡스,319400,01358463,2023,연결,267838061818.0,4143334694.0,4207016427.0,248932796618.0,88200130683.0,160732665935.0
현대무벡스,319400,01358463,2022,연결,210456108794.0,12155021726.0,9245492544.0,219449376793.0,64868050893.0,154581325900.0
